Nome,Unidade 1,Unidade 2,Unidade 3,Sexo,Curso,Ano de Ingresso
Ana Beatriz,9.5,8,6.6,F,BTI,2023
João Pedro,8.1,9.7,7.9,M,BTI,2022
Mariana Oliveira,4.1,8.6,10,F,BTI,2023
Lucas Andrade,10,8,9.5,M,Física,2021
Camila Ferreira,8.7,8.1,6,F,BCC,2024
Rafael Gomes,6.3,7,5.4,M,BCC,2024
Bianca Lima,8.9,9.1,4.6,F,Estatística,2023
Bruno Rocha,3.4,5.6,5.7,M,BCC,2024
Aline Barbosa,8.6,6.7,5.4,F,BCC,2024
Felipe Castro,8.9,10,6.5,M,BCC,2022
Gabriela Martins,8.4,8.7,7.8,F,Engenharia,2021
André Moreira,7,5.4,0,M,BTI,2023
Larissa Dias,5.3,6,3.4,F,BTI,2023
Vinícius Ramos,8.4,5.7,4.2,M,Engenharia,2020
Juliana Costa,10,9.6,6.9,F,Engenharia,2019
Matheus Teixeira,8.6,7.1,5.8,M,BTI,2023
Clara Cardoso,8.9,6.5,7,F,BTI,2022
Daniel Pires,9.5,7.2,5.8,M,BTI,2023
Priscila Azevedo,8.3,5.4,9.5,F,BTI,2022
Diego Mendes,6,7.2,5.4,M,BCC,2023
